GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001513840;8699546095100;10;0
8680001228911;8699546095131;1;0
8680001473571;8699546241248;1;0
8680001308446;8699546705795;5;0
8680001308446;8699546085767;5;0
8680001266425;8699546095131;1;0
8680001239016;8699546115198;2;0
8680001382941;8699546015634;2;0
8680001436330;8699546080274;60;3
8680001436330;8699546015597;60;3
8680001436330;8699546010011;60;3
8680001475971;8699546705757;3;0
8680001405268;8699546095131;1;0
8680001228911;8699546755714;2;0
8680001205417;8699546095131;1;0
8680001216031;8699546755714;2;0
8680001685059;8699546755714;2;0
8680001666980;8699546355174;10;1
8680001459421;8699546095131;1;0
8680001340804;8699546100354;1;0
8680001303557;8699546755141;2;0
8680001187683;8699546095131;1;0
8680001308446;8699546575893;3;0
8680001389568;8699546095131;1;0
8680001251544;8699546705801;5;0
8680001465699;8699546095131;1;0
8680001397327;8699546099429;20;0
8680001397327;8699546095100;20;0
8680001206742;8699546755714;2;0
8680001206742;8699546355174;10;1
8680001206742;8699546095131;1;0
8680001223572;8699546015597;20;1
8680001228850;8699546090396;3;0
8680001208418;8699546095131;1;0
8680001201440;8699546095131;1;0
8680001422081;8699546755714;2;0
8680001266425;8699546755714;2;0
8680001389568;8699546755714;2;0
8680001201440;8699546755714;2;0
8680001208173;8699546755714;2;0
8680001389568;8699546355174;10;1
8680001214099;8699546085767;20;1
8680001295968;8699546755141;2;0
8680001173242;8699546095131;1;0
8680001651467;8699546099429;27;0
8680001651467;8699546755141;10;0
8680001651467;8699546095100;7;0
8680001189076;8699546099429;2;0
8680001423552;8699546010028;10;0
8680001219186;8699546095131;1;0
8680001421565;8699546755141;2;0
8680001210916;8699546020461;2;0
8680001667567;8699546095100;5;0
8680001524730;8699546755714;2;0
8680001344598;8699546575893;2;0
8680001210916;8699546355174;1;0
8680001219186;8699546755714;2;0
8680001393336;8699546755714;2;0
8680001210916;8699546755714;2;0
8680001433889;8699546015634;1;0
8680001202836;8699546095131;1;0
8680001207817;8699546095131;1;0
8680001237807;8699546085767;10;0
8680001692002;8699546755141;1;0
8680001384112;8699546095131;1;0
8680001415823;8699546705795;5;0
8680001295968;8699546755141;2;0
8680001690763;8699546755141;3;0
8680001696031;8699546755141;4;0
8680001214099;8699546080274;10;0
8680001622238;8699546099429;15;0
8680001622238;8699546095100;10;0
8680001249039;8699546020447;12;1
8680001223763;8699546705757;1;0
8680001239863;8699546385492;5;0
8680001237142;8699546085767;20;1
8680001655977;8699546755141;5;0
8680001699131;8699546095131;1;0
8680001690725;8699546755141;1;0
8680001520862;8699546755714;2;0
8680001208234;8699546095131;1;0
8680001405183;8699546755714;2;0
8680001497911;8699546755141;5;0
8680001490066;8699546755714;2;0
8680001222186;8699546095131;1;0
8680001549115;8699546095131;1;0
8680001228379;8699546755714;2;0
8680001371426;8699546095131;1;0
8680001697069;8699546755141;2;0
8680001491308;8699546755141;5;0
8680001105106;8699546575893;10;1
8680001595853;8699546099429;50;0
8680001146260;8699546095131;1;0
8680001255504;8699546095131;1;0
8680001430970;8699546095131;1;0
8680001373161;8699546755714;2;0
8680001227631;8699546095131;1;0
8680001102266;8699546080274;20;1
8680001654215;8699546015610;60;3
8680001654215;8699546015597;100;5
8680001654215;8699546385492;10;0
8680001222186;8699546755714;2;0
8680001641666;8699546755141;2;0
8680001177530;8699546095131;1;0
8680001285433;8699546705795;10;0
8680001671182;8699546010011;4;0
8680001509553;8699546095100;10;0
8680001662708;8699546755141;1;0
8680001595853;8699546095131;1;0
8680001558728;8699546095131;1;0
8680001403738;8699546095131;1;0
8680001619498;8699546755141;5;0
8680001101047;8699546755714;2;0
8680001101047;8699546095131;1;0
8680001519866;8699546755714;2;0
8680001227976;8699546098248;2;0
8680001356317;8699546100354;7;0
8680001123124;8699546095131;1;0
8680001656233;8699546095131;1;0
8680001423828;8699546095131;1;0
8680001246045;8699546095131;1;0
8680001333837;8699546095131;1;0
8680001504589;8699546085767;3;0
8680001276134;8699546095131;1;0
8680001678358;8699546095131;1;0
8680001259083;8699546095131;1;0
8680001206025;8699546095131;1;0
8680001281992;8699546099429;20;0
8680001281992;8699546015610;20;1
8680001281992;8699546015597;20;1
8680001281992;8699546095100;20;0
8680001295661;8699546099429;50;0
8680001295661;8699546095100;50;0
8680001503391;8699546095131;1;0
8680001603039;8699546095131;1;0
8680001697427;8699546755141;2;0
8680001677597;8699546755714;2;0
8680001684069;8699546755714;2;0
8680001263165;8699546015634;10;1
8680001263165;8699546095131;1;0
8680001230037;8699546755141;5;0
8680001697380;8699546755141;2;0
8680001324033;8699546090426;2;0
8680001451913;8699546755141;1;0
8680001183395;8699546385492;5;0
8680001245635;8699546095131;1;0
8680001241941;8699546015610;20;1
8680001241941;8699546010011;10;0
8680001264285;8699546755714;2;0
8680001632190;8699546755141;1;0
8680001276134;8699546755714;2;0
8680001226849;8699546095131;1;0
8680001111688;8699546755714;2;0
8680001568130;8699546095131;1;0
8680001398492;8699546385492;10;0
8680001490066;8699546095131;1;0
8680001214396;8699546095131;1;0
8680001226337;8699546370412;2;0
8680001300648;8699546015634;5;0
8680001503391;8699546755714;2;0
8680001232338;8699546095131;1;0
8680001228379;8699546095131;1;0
8680001319831;8699546578085;1;0
8680001222872;8699546095131;1;0
8680001221042;8699546755141;2;0
8680001672936;8699546095131;1;0
8680001462704;8699546755714;2;0
8680001599790;8699546385492;20;0
8680001282302;8699546095100;3;0
8680001203888;8699546015597;100;5
8680001405183;8699546095131;1;0
8680001684236;8699546070879;10;0
8680001684236;8699546020386;1;0
8680001168507;8699546370412;15;1
8680001168507;8699546358632;15;1
8680001237807;8699546705801;20;1
8680001228355;8699546010028;10;0
8680001186198;8699546020447;12;1
8680001291830;8699546020447;1;0
8680001162260;8699546090396;10;1
8680001162260;8699546020447;3;0
8680001246533;8699546080274;5;0
8680001286140;8699546705795;3;0
8680001286140;8699546015610;2;0
8680001646845;8699546010028;10;0
8680001316168;8699546099429;10;0
8680001283583;8699546015634;2;0
8680001162260;8699546020461;3;0
8680001323333;8699546010011;10;0
8680001174515;8699546095100;5;0
8680001530120;8699546755714;2;0
8680001190263;8699546350209;2;0
8680001294718;8699546020478;2;0
8680001202430;8699546385492;2;0
8680001266999;8699546080274;20;1
8680001571314;8699546095131;2;0
8680001250301;8699546095131;2;0
8680001516735;8699546098248;5;0
8680001183227;8699546085767;2;0
8680001646364;8699546385492;5;0
8680001266012;8699546350209;1;0
8680001214327;8699546010028;3;0
8680001538843;8699546010011;10;0
8680001631827;8699546095131;2;0
8680001264070;8699546095131;2;0
8680001168507;8699546485260;3;0
8680001219186;8699546755141;5;0
8680001520947;8699546385492;50;0
8680001366415;8699546070879;3;0
8680001186358;8699546370399;2;0
8680001199549;8699546020447;2;0
8680001199549;8699546099429;10;0
8680001357963;8699546385492;25;0
8680001471874;8699546755714;2;0
8680001200634;8699546085767;20;1
8680001390120;8699546080274;5;0
8680001244652;8699546705795;20;1
8680001242269;8699546370580;10;0
8680001347773;8699546015634;10;1
8680001198580;8699546095131;2;0
8680001520800;8699546095131;2;0
8680001326358;8699546755714;2;0
8680001368938;8699546099429;10;0
8680001368938;8699546095100;5;0
8680001477784;8699546080274;3;0
8680001168507;8699546020447;24;2
8680001168507;8699546020393;7;1
8680001168507;8699546090396;10;1
8680001168507;8699546358625;15;1
8680001197965;8699546095100;20;0
8680001326174;8699546578078;1;0
8680001322251;8699546090396;2;0
8680001176106;8699546099429;20;0
8680001239870;8699546080274;1;0
8680001274789;8699546010011;5;0
8680001180332;8699546010028;60;3
8680001266319;8699546020478;2;0
8680001263684;8699546350209;1;0
8680001500116;8699546091959;1;0
8680001315857;8699546705795;20;1
8680001226337;8699546015634;1;0
8680001206599;8699546385492;10;0
8680001506644;8699546755714;2;0
8680001380756;8699546095131;2;0
8680001506644;8699546095131;2;0
8680001241309;8699546020447;4;0
8680001159949;8699546370382;1;0
8680001451005;8699546755714;2;0
8680001317561;8699546385492;10;0
8680001564088;8699546755714;2;0
8680001178179;8699546095131;2;0
8680001312931;8699546015634;10;1
