BARKOD_GUNCEL;GLN_GUNCEL;ADET;MF
8699546370429;8680001537099;60;6
8699546370429;8680001661091;15;1
8699546370429;8680001673407;45;3
8699546370429;8680001175604;3;0
8699546370429;8680001183005;100;10
8699546370429;8680001334896;1;0
8699546370429;8680001227181;1;0
8699546370429;8680001264315;15;1
8699546370429;8680001189816;15;1
8699546370429;8680001649785;15;1
8699546370429;8680001225439;2;0
8699546370429;8680001239771;2;0
8699546370429;8680001212569;120;12
8699546370429;8680001425372;100;10
8699546370429;8680001457472;1;0
8699546370429;8680001647095;2;0
8699546370429;8680001455065;30;2
8699546370429;8680001488452;5;0
8699546370429;8680001241378;3;0
8699546370429;8680001296552;30;2
8699546370429;8680001645442;15;1
8699546358434;8680001424023;15;1
8699546358434;8680001198115;3;0
8699546358434;8680001199693;1;0
8699546358434;8680001416684;1;0
8699546358434;8680001375899;2;0
8699546358434;8680001486564;2;0
8699546358434;8680001210817;2;0
8699546358434;8680001287949;1;0
8699546358434;8680001622467;2;0
8699546358434;8680001622467;1;0
8699546358434;8680001661091;15;1
8699546358434;8680001226641;1;0
8699546358434;8680001673407;60;6
8699546358434;8680001236343;1;0
8699546358434;8680001202522;2;0
8699546358434;8680001212569;120;12
8699546358434;8680001183005;120;12
8699546358434;8680001424023;450;30
8699546358434;8680001236343;1;0
8699546358434;8680001531011;15;1
8699546358434;8680001189816;15;1
8699546358434;8680001425372;180;18
8699546358434;8680001696536;3;0
8699546358434;8680001621835;15;1
8699546358434;8680001297450;2;0
8699546358434;8680001412303;1;0
8699546358434;8680001225347;1;0
8699546358434;8680001412303;1;0
8699546358434;8680001484805;1;0
8699546358434;8680001624331;15;1
8699546358434;8680001484805;5;0
8699546358434;8680001241668;1;0
8699546358434;8680001459209;1;0
8699546358434;8680001678297;15;1
8699546358434;8680001253418;1;0
8699546358434;8680001199693;1;0
8699546358434;8680001249633;60;6
8699546358434;8680001224753;60;6
8699546358434;8680001496310;15;1
8699546358434;8680001217410;120;12
8699546358434;8680001534036;180;18
8699546358434;8680001296552;30;2
8699546358434;8680001376681;1;0
8699546358434;8680001216277;2;0
8699546358359;8680001351244;15;1
8699546358359;8680001259632;5;0
8699546358359;8680001217410;450;30
8699546358359;8680001274802;15;1
8699546358359;8680001424023;495;33
8699546358359;8680001424023;660;44
8699546358359;8680001174072;15;1
8699546358359;8680001424023;750;50
8699546358359;8680001257331;2;0
8699546358359;8680001450305;4;0
8699546358359;8680001292820;15;1
8699546358359;8680001189397;15;1
8699546358359;8680001617845;10;0
8699546358359;8680001199693;15;1
8699546358359;8680001661091;30;2
8699546358359;8680001212569;120;12
8699546358359;8680001217410;300;50
8699546358359;8680001501632;5;0
8699546358359;8680001183005;120;12
8699546358359;8680001226641;15;1
8699546358359;8680001674107;2;0
8699546358359;8680001673407;120;12
8699546358359;8680001506101;5;0
8699546358359;8680001679539;15;1
8699546358359;8680001442393;5;0
8699546358359;8680001572571;1;0
8699546358359;8680001657971;1;0
8699546358359;8680001212736;30;2
8699546358359;8680001202119;3;0
8699546358359;8680001213641;15;1
8699546358359;8680001202522;5;0
8699546358359;8680001174171;3;0
8699546358359;8680001572571;60;10
8699546358359;8680001504398;60;10
8699546358359;8680001619986;3;0
8699546358359;8680001424023;1500;100
8699546358359;8680001236343;15;1
8699546358359;8680001572762;15;1
8699546358359;8680001457472;5;0
8699546358359;8680001531011;15;1
8699546358359;8680001274703;30;2
8699546358359;8680001189816;30;2
8699546358359;8680001621835;120;12
8699546358359;8680001649785;15;1
8699546358359;8680001210633;60;6
8699546358359;8680001558438;15;1
8699546358359;8680001696536;60;6
8699546358359;8680001625086;15;1
8699546358359;8680001170791;30;2
8699546358359;8680001170104;50;3
8699546358359;8680001213719;3;0
8699546358359;8680001425372;300;30
8699546358359;8680001247646;2;0
8699546358359;8680001249633;100;10
8699546358359;8680001224753;120;12
8699546358359;8680001424023;750;50
8699546358359;8680001424023;300;20
8699546358359;8680001298419;15;1
8699546358359;8680001453221;15;1
8699546358359;8680001188970;5;0
8699546358359;8680001239771;15;1
8699546358359;8680001635047;30;2
8699546358359;8680001232567;1;0
8699546358359;8680001238484;60;6
8699546358359;8680001175604;15;1
8699546358359;8680001486564;15;1
8699546358359;8680001660643;2;0
8699546358359;8680001226344;60;6
8699546358359;8680001185528;15;1
8699546358359;8680001253357;2;0
8699546358359;8680001174072;15;1
8699546358359;8680001673964;1;0
8699546358359;8680001248148;5;0
8699546358359;8680001678297;15;1
8699546358359;8680001183302;3;0
8699546358359;8680001274826;15;1
8699546358359;8680001429219;5;0
8699546358359;8680001496310;60;6
8699546358359;8680001236770;15;1
8699546358359;8680001647316;5;0
8699546358359;8680001290963;3;0
8699546358359;8680001554157;15;1
8699546358359;8680001534036;180;18
8699546358359;8680001460434;2;0
8699546358359;8680001208784;2;0
8699546358359;8680001219001;60;6
8699546358359;8680001248322;2;0
8699546358359;8680001218547;10;0
8699546358359;8680001238866;1;0
8699546358694;8680001259632;1;0
8699546358694;8680001501632;1;0
8699546358694;8680001501632;1;0
8699546358694;8680001231041;1;0
8699546358694;8680001296019;1;0
8699546358694;8680001404773;2;0
8699546358694;8680001464562;1;0
8699546358694;8680001636730;2;0
8699546358694;8680001219704;10;0
8699546358694;8680001572571;1;0
8699546358694;8680001183005;100;10
8699546358694;8680001673407;60;6
8699546358694;8680001431083;1;0
8699546358694;8680001264315;15;1
8699546358694;8680001189816;30;2
8699546358694;8680001673575;2;0
8699546358694;8680001425372;100;10
8699546358694;8680001305605;15;1
8699546358694;8680001484805;3;0
8699546485260;8680001558438;1;0
8699546485260;8680001375899;1;0
8699546485260;8680001661091;1;0
8699546485260;8680001189816;3;0
8699546485260;8680001212569;10;1
8699546485260;8680001673407;10;1
8699546485260;8680001425372;30;3
8699546485260;8680001425372;20;2
8699546485260;8680001515097;1;0
8699546485260;8680001515097;1;0
8699546485260;8680001183005;10;1
8699546485260;8680001224753;10;1
8699546485260;8680001597178;3;0
8699546485260;8680001376773;1;0
8699546485260;8680001425372;50;5
8699546485260;8680001572762;2;0
8699546485260;8680001264315;2;0
8699546485260;8680001274703;10;1
8699546485260;8680001234615;3;0
8699546485260;8680001527052;1;0
8699546485260;8680001249633;10;1
8699546485260;8680001249633;10;1
8699546485260;8680001189816;3;0
8699546485260;8680001224753;20;2
8699546485260;8680001534036;10;1
8699546485260;8680001508570;10;1
8699546485260;8680001381227;1;0
8699546485277;8680001212439;1;0
8699546485277;8680001626564;1;0
8699546485277;8680001398492;1;0
8699546485277;8680001661091;1;0
8699546485277;8680001189816;3;0
8699546485277;8680001212569;10;1
8699546485277;8680001625338;1;0
8699546485277;8680001673407;10;1
8699546485277;8680001597178;3;0
8699546485277;8680001429004;1;0
8699546485277;8680001183005;10;1
8699546485277;8680001572762;2;0
8699546485277;8680001264315;2;0
8699546485277;8680001626564;1;0
8699546485277;8680001427185;1;0
8699546485277;8680001376773;1;0
8699546485277;8680001234615;10;1
8699546485277;8680001425372;50;5
8699546485277;8680001224753;10;1
8699546485277;8680001189816;3;0
8699546485277;8680001449446;10;1
8699546485277;8680001644988;2;0
8699546485277;8680001463343;1;0
8699546485277;8680001534036;10;1
8699546485277;8680001508570;10;1
8699546485277;8680001645442;1;0
8699546485246;8680001632794;1;0
8699546485246;8680001661091;1;0
8699546485246;8680001189816;3;0
8699546485246;8680001217410;100;10
8699546485246;8680001253388;1;0
8699546485246;8680001673407;20;2
8699546485246;8680001425372;50;5
8699546485246;8680001549610;1;0
8699546485246;8680001425372;50;5
8699546485246;8680001572762;10;1
8699546485246;8680001264315;2;0
8699546485246;8680001558438;1;0
8699546485246;8680001516711;1;0
8699546485246;8680001278473;1;0
8699546485246;8680001239696;1;0
8699546485246;8680001189816;3;0
8699546485246;8680001210817;1;0
8699546485246;8680001549610;1;0
8699546485246;8680001190317;2;0
8699546485246;8680001296552;10;1
8699546485253;8680001565139;2;0
8699546485253;8680001661091;1;0
8699546485253;8680001649754;1;0
8699546485253;8680001189816;2;0
8699546485253;8680001673407;20;2
8699546485253;8680001425372;50;5
8699546485253;8680001224753;20;2
8699546485253;8680001217410;100;10
8699546485253;8680001572762;10;1
8699546485253;8680001264315;2;0
8699546485253;8680001274703;10;1
8699546485253;8680001376773;1;0
8699546485253;8680001463343;1;0
8699546485253;8680001189816;3;0
8699546485253;8680001515479;1;0
8699546485253;8680001210817;1;0
8699546485253;8680001248148;2;0
8699546485253;8680001296552;10;1
8699546485253;8680001287949;1;0
8699546358830;8680001462421;1;0
8699546358830;8680001419791;2;0
8699546358830;8680001661091;1;0
8699546358830;8680001649754;1;0
8699546358830;8680001189816;3;0
8699546358830;8680001212569;10;1
8699546358830;8680001673407;20;2
8699546358830;8680001516711;1;0
8699546358830;8680001425372;10;1
8699546358830;8680001425372;40;4
8699546358830;8680001183005;10;1
8699546358830;8680001425372;50;5
8699546358830;8680001572762;2;0
8699546358830;8680001558438;1;0
8699546358830;8680001278473;1;0
8699546358830;8680001224753;10;1
8699546358830;8680001679539;1;0
8699546358830;8680001189816;3;0
8699546358830;8680001660643;1;0
8699546358830;8680001678297;10;1
8699546358830;8680001217953;1;0
8699546358830;8680001558438;1;0
8699546358830;8680001177530;1;0
8699546358830;8680001178506;1;0
8699546350209;8680001429219;1;0
8699546350209;8680001679522;2;0
8699546350209;8680001404575;2;0
8699546350209;8680001523436;2;0
8699546350209;8680001234615;10;1
8699546350209;8680001231256;2;0
8699546350209;8680001509287;2;0
8699546350209;8680001376773;1;0
8699546350209;8680001244850;1;0
8699546350209;8680001494958;1;0
8699546350209;8680001661091;15;2
8699546350209;8680001425372;120;16
8699546350209;8680001486564;2;0
8699546350209;8680001217410;120;16
8699546350209;8680001376773;1;0
8699546350209;8680001253388;1;0
8699546350209;8680001447954;2;0
8699546350209;8680001226641;10;1
8699546350209;8680001236343;10;1
8699546350209;8680001509287;10;1
8699546350209;8680001673407;30;4
8699546350209;8680001257720;2;0
8699546350209;8680001496693;1;0
8699546350209;8680001275144;2;0
8699546350209;8680001431083;1;0
8699546350209;8680001288779;10;1
8699546350209;8680001450305;1;0
8699546350209;8680001506101;1;0
8699546350209;8680001636075;2;0
8699546350209;8680001202119;3;0
8699546350209;8680001673865;3;0
8699546350209;8680001332977;1;0
8699546350209;8680001424023;330;33
8699546350209;8680001466610;10;1
8699546350209;8680001219704;2;0
8699546350209;8680001603695;3;0
8699546350209;8680001625413;3;0
8699546350209;8680001253265;1;0
8699546350209;8680001433773;1;0
8699546350209;8680001498505;2;0
8699546350209;8680001622719;2;0
8699546350209;8680001179114;10;1
8699546350209;8680001295869;3;0
8699546350209;8680001633012;2;0
8699546350209;8680001190317;3;0
8699546350209;8680001506101;2;0
8699546350209;8680001572762;10;1
8699546350209;8680001507245;2;0
8699546350209;8680001264315;10;1
8699546350209;8680001632817;10;1
8699546350209;8680001658794;2;0
8699546350209;8680001215096;1;0
8699546350209;8680001217076;2;0
8699546350209;8680001679898;45;6
8699546350209;8680001649785;10;1
8699546350209;8680001210633;15;2
8699546350209;8680001696536;5;0
8699546350209;8680001624737;2;0
8699546350209;8680001170104;10;1
8699546350209;8680001247646;1;0
8699546350209;8680001249633;75;10
8699546350209;8680001424023;500;50
8699546350209;8680001189304;15;2
8699546350209;8680001212439;1;0
8699546350209;8680001173808;10;1
8699546350209;8680001305605;15;2
8699546350209;8680001447954;2;0
8699546350209;8680001449446;30;4
8699546350209;8680001210817;2;0
8699546350209;8680001407620;2;0
8699546350209;8680001424948;1;0
8699546350209;8680001202119;3;0
8699546350209;8680001124879;2;0
8699546350209;8680001624331;10;1
8699546350209;8680001351244;2;0
8699546350209;8680001538980;10;1
8699546350209;8680001410637;5;0
8699546350209;8680001622818;2;0
8699546350209;8680001244850;1;0
8699546350209;8680001500901;3;0
8699546350209;8680001495054;2;0
8699546350209;8680001534036;15;2
8699546350209;8680001424948;2;0
8699546350209;8680001275151;1;0
8699546350209;8680001486199;1;0
8699546350209;8680001280759;1;0
8699546350209;8680001515479;2;0
8699546350209;8680001219001;15;2
8699546350209;8680001245703;10;1
8699546350209;8680001253371;2;0
8699546350209;8680001555253;1;0
8699546350209;8680001443789;2;0
8699546350209;8680001253388;2;0
8699546350209;8680001226245;10;1
8699546350209;8680001494958;1;0
8699546610044;8680001661091;5;1
8699546610044;8680001486564;1;0
8699546610044;8680001510320;1;0
8699546610044;8680001437115;2;0
8699546610044;8680001234615;2;0
8699546610044;8680001286737;10;2
8699546610044;8680001286737;5;1
8699546610044;8680001275144;3;0
8699546610044;8680001275021;1;0
8699546610044;8680001291083;2;0
8699546610044;8680001489091;1;0
8699546610044;8680001213719;1;0
8699546610044;8680001559626;1;0
8699546610044;8680001376773;1;0
8699546610044;8680001209958;5;1
8699546610044;8680001503155;1;0
8699546610044;8680001297450;5;1
8699546610044;8680001211326;2;0
8699546610044;8680001178179;1;0
8699546610044;8680001398492;25;5
8699546610044;8680001562428;1;0
8699546610044;8680001636204;1;0
8699546610044;8680001178179;1;0
8699546610044;8680001657971;1;0
8699546610037;8680001178506;2;0
8699546610037;8680001549610;1;0
8699546610037;8680001381227;1;0
8699546610037;8680001513659;1;0
8699546610037;8680001445592;1;0
8699546610037;8680001275151;1;0
8699546610037;8680001177530;2;0
8699546610037;8680001270972;2;0
8699546610037;8680001534036;2;0
8699546610037;8680001210817;2;0
8699546610037;8680001249633;1;0
8699546610037;8680001642311;1;0
8699546610037;8680001531011;1;0
8699546610037;8680001497652;1;0
8699546610037;8680001286737;2;0
8699546630004;8680001527076;1;0
8699546630004;8680001666119;1;0
8699546630004;8680001661091;15;2
8699546630004;8680001260065;1;0
8699546630004;8680001527076;1;0
8699546630004;8680001174546;1;0
8699546630004;8680001174546;1;0
8699546630004;8680001527076;2;0
8699546630004;8680001636730;2;0
8699546630004;8680001636730;3;0
8699546630004;8680001522729;1;0
8699546630004;8680001424023;10;1
8699546630004;8680001179114;4;0
8699546630004;8680001570379;5;0
8699546630004;8680001445172;1;0
8699546370580;8680001259632;5;0
8699546370580;8680001217410;300;20
8699546370580;8680001217410;150;10
8699546370580;8680001198115;3;0
8699546370580;8680001485338;2;0
8699546370580;8680001450305;1;0
8699546370580;8680001447954;2;0
8699546370580;8680001253388;15;1
8699546370580;8680001270972;15;1
8699546370580;8680001461240;1;0
8699546370580;8680001289301;1;0
8699546370580;8680001565139;15;1
8699546370580;8680001661091;30;2
8699546370580;8680001468836;15;1
8699546370580;8680001649754;15;1
8699546370580;8680001189816;30;2
8699546370580;8680001504398;60;10
8699546370580;8680001248322;1;0
8699546370580;8680001217410;300;50
8699546370580;8680001523436;15;1
8699546370580;8680001528813;4;0
8699546370580;8680001217748;15;1
8699546370580;8680001295869;15;1
8699546370580;8680001510658;30;2
8699546370580;8680001212736;3;0
8699546370580;8680001673575;5;0
8699546370580;8680001209057;3;0
8699546370580;8680001231041;2;0
8699546370580;8680001503513;2;0
8699546370580;8680001645442;2;0
8699546370580;8680001506101;3;0
8699546370580;8680001506101;2;0
8699546370580;8680001425297;2;0
8699546370580;8680001625338;120;12
8699546370580;8680001226641;5;0
8699546370580;8680001621170;3;0
8699546370580;8680001674107;2;0
8699546370580;8680001201761;1;0
